timestamps,TP9,AF7,AF8,TP10
1623120416.131,-1000.000,-42.480,-89.844,-972.656
1623120416.135,-506.836,-35.645,-49.805,-613.281
1623120416.139,-999.023,-9.277,35.645,791.504
1623120416.143,652.832,-22.461,8.789,703.613
1623120416.147,-841.309,-54.199,-82.520,-680.176
1623120416.151,-865.723,-50.781,-82.520,-871.094
1623120416.155,567.871,-28.809,-2.441,450.684
1623120416.158,-998.535,-28.320,9.277,948.730
1623120416.162,-330.078,-59.082,-74.707,-295.898
1623120416.166,-1000.000,-71.777,-93.750,-1000.000
1623120416.170,87.891,-42.969,-16.602,61.035
1623120416.174,-823.730,-35.645,23.438,-927.246
1623120416.192,75.684,-62.988,-54.199,116.211
1623120416.196,-1000.000,-76.660,-107.910,-1000.000
1623120416.200,-263.184,-60.059,-28.320,-353.027
1623120416.204,-839.355,-37.598,33.691,980.957
1623120416.208,400.391,-47.852,-21.973,520.508
1623120416.212,-1000.000,-79.102,-98.633,-881.348
1623120416.216,-578.125,-73.242,-63.965,-671.387
1623120416.219,927.246,-41.992,20.996,719.727
1623120416.223,747.559,-44.922,-9.766,789.551
1623120416.227,-726.562,-73.242,-103.027,-565.430
1623120416.231,-925.293,-71.777,-81.055,-908.691
1623120416.235,480.469,-39.551,15.625,386.719
1623120416.236,-942.871,-38.086,19.043,998.535
1623120416.240,-226.074,-65.430,-80.566,-192.871
1623120416.244,-1000.000,-63.477,-104.492,-1000.000
1623120416.248,14.160,-35.645,-12.695,-36.621
1623120416.252,-809.570,-32.715,23.926,-928.223
1623120416.256,144.043,-55.664,-55.664,210.449
1623120416.260,-1000.000,-70.312,-104.492,-1000.000
1623120416.263,-326.172,-47.852,-29.785,-435.547
1623120416.267,-865.234,-28.809,34.668,935.059
1623120416.271,458.984,-51.270,-18.555,571.289
1623120416.275,-1000.000,-72.266,-93.750,-834.961
1623120416.279,-662.109,-53.711,-53.223,-743.164
1623120416.281,833.008,-27.832,33.691,641.113
1623120416.285,823.242,-39.062,10.742,831.055
1623120416.289,-621.582,-63.965,-76.172,-506.348
1623120416.293,-1000.000,-62.012,-72.266,-961.914
1623120416.297,354.004,-30.762,17.578,292.969
1623120416.301,-906.738,-21.973,32.227,-971.191
1623120416.305,-144.531,-44.434,-51.270,-116.699
1623120416.308,-1000.000,-47.852,-84.473,-1000.000
1623120416.312,-81.055,-29.297,-12.695,-124.023
1623120416.316,-806.641,-21.484,46.387,-931.641
1623120416.320,216.797,-36.621,-19.531,294.434
1623120416.324,-1000.000,-52.246,-93.262,-1000.000
1623120416.327,-395.020,-39.551,-33.691,-502.441
1623120416.331,-908.691,-18.555,37.109,885.742
1623120416.335,544.434,-29.297,-10.742,631.348
1623120416.339,-965.820,-53.223,-92.773,-762.695
1623120416.343,-738.770,-38.086,-59.570,-800.781
1623120416.347,745.117,-12.695,28.320,564.941
1623120416.351,889.648,-21.484,14.648,880.371
1623120416.354,-518.555,-47.363,-82.031,-424.805
1623120416.358,-1000.000,-48.340,-87.891,-1000.000
1623120416.362,246.094,-20.996,17.090,194.336
1623120416.366,-866.699,-16.602,40.527,-947.266
1623120416.370,-53.711,-37.598,-53.711,-30.762
1623120416.372,-1000.000,-47.852,-104.492,-1000.000
1623120416.376,-149.902,-29.785,-25.879,-224.609
1623120416.380,-811.523,-13.672,29.785,-965.332
1623120416.384,284.180,-32.227,-28.809,377.441
1623120416.388,-1000.000,-49.316,-90.332,-992.676
1623120416.392,-465.332,-37.109,-45.410,-589.355
1623120416.396,-961.426,-20.508,31.250,803.711
1623120416.399,613.281,-37.598,-8.789,695.801
1623120416.403,-888.672,-62.988,-93.262,-691.406
1623120416.407,-818.848,-47.852,-60.547,-848.633
1623120416.411,638.184,-27.344,29.785,494.629
1623120416.415,956.543,-32.227,21.973,915.039
1623120416.417,-408.203,-51.270,-67.871,-355.957
1623120416.421,-1000.000,-55.664,-80.078,-1000.000
1623120416.425,141.113,-28.320,-0.488,102.051
1623120416.429,-839.355,-17.578,25.879,-932.129
1623120416.433,25.879,-38.574,-47.363,55.664
1623120416.437,-1000.000,-52.734,-89.844,-1000.000
