timestamps,TP9,AF7,AF8,TP10
1623120654.091,-585.938,-40.527,-145.508,-422.363
1623120654.095,-369.141,-42.969,-79.590,-302.246
1623120654.099,476.074,-17.578,62.500,319.336
1623120654.103,418.457,-18.066,20.996,312.500
1623120654.107,-440.430,-46.387,-128.906,-314.453
1623120654.111,-540.527,-48.828,-126.465,-427.734
1623120654.115,294.434,-12.695,38.574,172.852
1623120654.118,561.523,-5.371,69.824,405.273
1623120654.122,-213.867,-35.156,-83.008,-146.484
1623120654.126,-638.184,-43.457,-132.324,-474.121
1623120654.130,55.176,-17.578,1.953,5.859
1623120654.134,623.047,5.859,72.754,436.523
1623120654.166,39.551,-22.949,-54.199,36.621
1623120654.170,-653.320,-49.805,-150.879,-497.070
1623120654.174,-189.941,-21.484,-37.598,-186.523
1623120654.178,577.148,-3.906,87.891,395.508
1623120654.182,263.184,-34.668,-7.324,199.219
1623120654.186,-531.738,-48.340,-136.230,-378.906
1623120654.190,-376.465,-27.832,-74.219,-291.504
1623120654.193,444.336,-5.859,57.617,291.992
1623120654.197,474.121,-16.113,26.855,342.773
1623120654.201,-379.883,-39.062,-115.234,-266.602
1623120654.205,-560.547,-28.809,-82.520,-432.129
1623120654.209,237.305,-12.207,43.945,128.906
1623120654.196,569.824,-18.066,40.527,410.156
1623120654.200,-169.434,-40.527,-82.520,-104.004
1623120654.204,-663.574,-51.758,-127.930,-497.559
1623120654.208,-15.625,-26.855,-5.371,-47.363
1623120654.212,597.168,-10.742,58.594,426.270
1623120654.216,74.707,-31.250,-47.363,76.172
1623120654.220,-649.902,-42.969,-129.395,-471.680
1623120654.223,-258.789,-26.367,-41.016,-223.633
1623120654.227,541.016,-3.418,64.453,369.629
1623120654.231,322.266,-11.719,9.277,240.234
1623120654.235,-524.902,-43.945,-107.422,-385.742
1623120654.239,-455.078,-37.109,-82.031,-371.582
1623120654.241,401.367,-13.184,33.691,258.789
1623120654.245,488.281,-27.344,18.066,358.398
1623120654.249,-348.145,-54.688,-106.445,-253.906
1623120654.253,-605.469,-56.152,-129.395,-470.703
1623120654.257,168.945,-32.715,12.207,79.590
1623120654.261,581.055,-12.695,65.430,416.504
1623120654.265,-123.047,-26.855,-59.570,-64.941
1623120654.268,-684.082,-45.410,-136.719,-489.746
1623120654.272,-81.055,-20.508,-38.086,-73.730
1623120654.276,586.914,1.465,67.871,421.875
1623120654.280,120.605,-23.926,-29.297,103.516
1623120654.284,-629.883,-48.340,-156.738,-459.961
1623120654.286,-289.062,-32.227,-78.125,-234.375
1623120654.290,518.555,-15.137,68.848,363.281
1623120654.294,338.379,-25.391,19.531,257.324
1623120654.298,-519.043,-52.734,-132.324,-365.234
1623120654.302,-507.324,-52.246,-106.934,-383.301
1623120654.306,349.121,-16.113,41.992,240.234
1623120654.310,514.648,-5.859,57.129,395.508
1623120654.313,-303.223,-35.156,-94.727,-189.941
1623120654.317,-624.512,-47.363,-131.836,-452.637
1623120654.321,125.000,-24.414,21.973,69.336
1623120654.325,600.586,-15.625,63.965,436.035
1623120654.329,-57.617,-41.016,-75.195,-25.391
1623120654.331,-668.457,-46.875,-138.184,-493.652
1623120654.335,-122.559,-24.902,-14.648,-119.141
1623120654.339,588.867,-9.277,70.312,416.504
1623120654.343,193.359,-22.949,-15.625,145.508
1623120654.347,-606.445,-46.875,-128.906,-452.637
1623120654.351,-342.773,-34.668,-77.148,-286.133
1623120654.355,496.582,-8.789,55.176,337.402
1623120654.358,405.762,-10.742,12.695,310.059
1623120654.362,-452.148,-32.715,-116.211,-318.359
1623120654.366,-520.020,-30.762,-77.148,-395.996
1623120654.370,311.523,-7.812,39.551,204.102
1623120654.374,537.598,-11.719,30.273,392.090
1623120654.376,-250.488,-38.574,-97.656,-166.504
1623120654.380,-640.625,-44.434,-127.441,-477.051
1623120654.384,67.871,-23.438,3.418,18.555
1623120654.388,596.191,-12.695,61.523,428.711
1623120654.392,-5.371,-27.832,-46.875,14.648
1623120654.396,-667.969,-47.363,-128.418,-484.375
1623120654.400,-181.152,-36.621,-44.922,-154.785
1623120654.403,573.242,-11.230,63.477,411.621
1623120654.407,231.445,-20.020,-0.488,188.965
1623120654.411,-592.285,-58.594,-129.883,-423.340
1623120654.415,-397.461,-42.480,-67.383,-313.965
1623120654.419,450.684,-3.418,66.895,309.570
1623120654.421,428.711,-16.602,38.086,326.172
1623120654.425,-425.781,-46.875,-106.934,-298.340
1623120654.429,-567.383,-36.621,-107.910,-435.547
1623120654.433,273.438,-2.930,42.969,156.250
1623120654.437,546.875,-9.766,61.523,384.766
1623120654.441,-232.422,-40.527,-92.285,-155.762
1623120654.445,-645.508,-51.270,-136.230,-479.980
1623120654.448,26.855,-21.973,18.066,-15.137
1623120654.452,615.234,0.488,102.539,440.918
1623120654.456,53.223,-28.809,-37.598,61.523
1623120654.460,-643.555,-45.410,-142.090,-469.727
1623120654.464,-203.613,-22.949,-31.738,-178.223
1623120654.466,564.453,-11.230,71.777,397.461
1623120654.470,290.527,-22.461,-14.160,223.145
1623120654.474,-547.363,-38.574,-132.324,-392.578
1623120654.478,-431.641,-33.203,-66.406,-331.543
1623120654.482,423.828,-12.207,62.012,285.645
1623120654.486,472.656,-20.020,20.996,353.516
1623120654.490,-374.512,-48.340,-116.211,-255.859
1623120654.493,-580.566,-40.039,-99.121,-442.383
1623120654.497,217.773,-13.672,33.203,133.301
1623120654.501,598.145,-28.809,40.039,450.195
1623120654.505,-105.469,-52.734,-84.473,-46.387
1623120654.509,-645.996,-39.062,-116.699,-478.027
1623120654.526,-35.645,-12.207,2.441,-75.684
1623120654.530,614.258,-1.953,75.195,419.922
1623120654.534,111.328,-30.762,-36.621,82.031
1623120654.538,-639.160,-50.781,-152.344,-483.398
1623120654.542,-255.371,-28.809,-80.078,-229.980
1623120654.546,562.988,-4.883,35.156,376.953
1623120654.550,355.469,-10.254,-10.254,250.977
1623120654.553,-494.141,-34.668,-130.371,-377.930
1623120654.557,-438.477,-32.227,-106.934,-374.023
1623120654.561,420.898,0.977,37.598,249.023
1623120654.565,537.109,1.953,47.363,371.094
1623120654.569,-311.523,-36.621,-107.910,-222.656
1623120654.586,-592.773,-43.945,-130.371,-452.637
1623120654.590,181.641,-12.695,9.277,87.891
1623120654.594,617.676,-0.488,69.824,439.453
1623120654.598,-82.520,-31.250,-57.617,-53.223
1623120654.602,-633.301,-51.270,-141.602,-473.145
1623120654.606,-29.297,-25.391,-21.973,-52.246
1623120654.610,624.512,7.324,70.801,443.359
1623120654.613,192.383,0.488,-13.184,164.551
1623120654.617,-588.867,-33.203,-143.066,-416.992
1623120654.621,-303.711,-26.367,-74.219,-242.676
1623120654.625,524.902,5.371,87.891,367.676
1623120654.629,393.066,-8.789,31.738,303.223
1623120654.616,-471.680,-46.387,-128.418,-324.219
1623120654.620,-495.117,-34.668,-92.285,-375.488
1623120654.624,351.074,-3.906,53.711,227.539
1623120654.628,544.434,-16.113,35.645,400.391
1623120654.632,-265.137,-38.574,-93.262,-184.082
1623120654.636,-621.582,-34.180,-117.676,-475.586
1623120654.640,116.699,-10.254,0.000,44.922
1623120654.643,618.164,-2.441,54.199,439.941
1623120654.647,-23.438,-22.461,-66.406,-3.418
1623120654.651,-657.227,-36.621,-136.230,-485.840
1623120654.655,-134.277,-23.926,-28.809,-126.953
1623120654.659,597.656,-7.324,59.082,423.828
1623120654.661,221.680,-31.738,-51.270,176.270
